,0
0," we stay schicago hilton 4 day 3 night conference. i say, normal i easi go amenities, cleanliness, like...howev experi hilton aw i take time actual write review. truly, do not stay hotel. when arriv room, clear carpet vacuumed. i figuered, ""okay, carpet."" until i saw bathroom! although bathroom superfici indic housekeep recent clean (i.e., paper band across toilet, paper cap drink glasses, etc., clear actual clean took place. there spot (probabl urine!) toilet seat and, i kid not, remnant lip-smudg glass. i know peopl work mani year hotel industri alway warn lazi housekeep make thing ""appear"" clean fact make effort keep thing sanitary. well, hilton proof. i call downstair complained, sent chambermaid hour later. frankly, i found room disgusting. the hotel itself, outsid rooms, cavern unwelcoming, aw echo lobbi area creat migraine-induc din. rare i eager leav place this. when i got home, i wash cloth whether i worn not, skeevi accomodations. please, favor stay clean hotel."
1," hotel locat 1/2 mile train station quit hike travel luggag and/or kids. they seem cash guest arriv privat car charg exorbit parking/valet fees. room featur either doubl king size beds; queen bed all. if want littl extra leg room bed, price jump double- king-siz stiff. room kind view pay healthi surcharge, too."
2," i made reserv hilton chicago believ i go stay classi hotel mani amenities. unfortunately, stay hilton chicago went downhil moment i check in. there one clerk front desk, sever guest alreadi wait ahead me. onc i final got check locat room, i discov neither room key work make way back front desk. final i made room. it appear nice enough i went use bathroom found toilet clogged. the manag move new room, i can't complain much, still hassle. final settled, i abl relax rest even look forward sleep next morning. that -- front desk call 5 wake call i requested! needless say, overal experi hotel left much desir i choos accommod next trip chicago."
3," when peopl think hilton, think luxury. i know i did. i wish i'd half right. upon arriving, i inform incompet staff lost reserv entirely. not auspici start, find anoth room. granted, new room oh-so-scen view broadsid adjac building. but, fine. i will let slide. i want difficult. in follow day stay, got littl harder ignor minor problem make hilton undeserv term, luxuri hotel. noisi neighbors. rude staff. if state bathroom towel anyth go upon checkout, i doubt sheet chang even once. next time i'll ignor hype stay somewher cheaper. the servic possibl worse."
4," my husband i recent stay stay hilton chicago horribl experience. when arrived, front desk clerk phone sound like person call even acknowledg us least five minutes. when got room i went lay bed notic black hair pillow. i'm paranoid hotel dirty, i pull back sheet move pillow around notic sever hairs. i call new sheet said would send right actual took nearli 30 minutes. the second night decid tri irish pub hotel call kitti o'shea husband love pub food. we shepherd' pie awful. it wateri flavor cheap! our server seem annoy complain offer taken check. while great trip chicago, hilton definit not highlight trip. overall, rude service, dirti room bad food. spend money elsewher"
5," my wife i book room hilton chicago three weekend ago, downtown hotel well known brand knew go pay littl addit price expect get qualiti hotel. we expect minutia luxury. however, case hilton chicago. first, reserv room king size bed, avail stuck queen size bed. now, get reduc price this, made reserv expect accommod asked. second, chang room key twice. the room key use supposedli lost ""charge"". thi front desk told us. so, go room, find key work, come back stair get new key, get back in. thi highli unprofessional, realli need look key system. lastly, told end stay charg room. we knew accurate, i alway check case. but two week later i check credit card addit two hundr dollar charg card. i call argu twenti minut took card. suffic say stay again."
6," for hotel rate four diamond aaa, one would think hilton chicago would almost like stay palac royalty. the royal thing hotel howev royal nightmare. i known moment i walk wife go becom bigger headach worth. first off, soon arriv check hotel clerk older nineteen twenty, red flag start go up. the clerk extrem rude lazy, act like chore even get text cell phone. if bad enough, clerk pretti much ignor blatantli stare wife' breasts. she even wear anyth could consid skimpi cold wear turtl neck sweater larg fur line coat. after divert atent sever time final got room keys. it surpris learn one help us luggag clerk said break. okay, annoying, manag easi enough. we final got third floor suit reserv month look forward rest long trip. to surprise, mention disgust horror, alreadi coupl suppos room bed make out. it took almost half hour coupl room, front desk, wife get straighten out. appar night clerk bother follow polici taken reserv comput give friend leav print card day clerk. after could describ chaos, final given anoth room next floor up. we thank got wife went use bathroom i drop luggag beds. hear clink sound i bent look one bag could hit see empti beer bottl stick bed. i call back give clerk piec mind i heard wife cri out. there wall bathroom sever roach crawl around i notic someth els sink almost made us leav there. there, sink plain sight, use condom! so far less thrill stomr back downstair demand money back. by desk manag return ever went talk us take anoth room, free charg make troubles. the room thank clean bug trash disgust item lay around. despit lot smaller promis view room had, decid make due. so wife went get clean long trip i pull laptop use call high speed internet access. i even bother i'v use dial went least three time fast speed i getting. with quick call desk i inform person respons internet gone day noth could done moment. so instead worri it, went get someth eat onsit din area. yet met rude peopl either stare wife' chest forgot half order. after argu seem like forev get everything, found found bland, cold! we even bother tri anyth else, final straw got thing found anoth hotel. i know would hire bunch rude employe bare high school clean room, i know hotel deserv four diamond unless negative. that place shut way know run decent hotel."
7," i high hope hilton chicago, i sad say i disapointed. not outrag expens (over $200 two peopl one night), expect pay $40 park car! they offer free wi-fi, instead i pay $20 get internet room. i wait 3 pm check (even though flight morning) i rent car airport hotel offer transport from. after stress, hilton chicago hotel bar either. i doubt i stay again!"
8," we book room hilton chicago two night stay weekend, upon arriv reserv could found. i even provid hotel confirm number, still available! fortunately, anoth reserv shown space avail us. onc settl room night (after long flight), bad odor come bathroom. appar clean solut use taint re-clean arrival. needless say, poor experi one night, i hesit ever stay hotel again, let alon hilton around. pleas consid someplac els hilton chicago!"
9," i'v stay hotel chicago, first absolut horrifi experience. first staff incred rude. i could live busy, person would get cell phone check want pull hair out. the room also horrid. it smell like sex cigar smoke bad i convinc politician check use cheap affair. there also look dri snot shower curtain. mark words: never i stay dump!"
